username,league,team,country,region,agents,rounds,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs,clutch_rate
Alyssa,VCT Game Changers,NCL.GC,Colombia,Americas,"[""Sova"", ""Gekko""]",286,0.74,152.5,0.65,61,109.7,0.51,0.26,0.03,0.10,29,17
memi,VCT Game Changers,KS,Dominican Republic,Americas,"[""Brimstone"", ""Killjoy""]",274,0.74,144.2,0.72,66,97.0,0.53,0.31,0.04,0.07,28,8
B1nby0,VCT Game Changers,UR.GC,"Korea, Republic of",Pacific,"[""Omen"", ""Astra""]",201,0.73,164.6,0.71,64,105.4,0.56,0.35,0.05,0.08,22,
Yashi,VCT Game Changers,BLAZ,Belgium,EMEA,"[""Omen"", ""Viper""]",224,0.73,169.7,0.68,64,113.3,0.57,0.28,0.10,0.11,23,5
Alora,VCT Game Changers,,Germany,EMEA,"[""Breach"", ""KAY/O""]",204,0.72,145.9,0.64,56,96.8,0.50,0.23,0.07,0.09,28,6
toffywoffy,VCT Game Changers,DVT,Singapore,Pacific,"[""Breach"", ""Sova""]",218,0.71,156.6,0.61,61,106.1,0.50,0.30,0.09,0.08,20,7
MochiMei,VCT Game Changers,RTL,Canada,Americas,"[""Omen""]",227,0.71,133.6,0.59,65,85.7,0.46,0.33,0.02,0.06,18,
ripmeL,VCT Game Changers,DAS,Brazil,Americas,"[""Omen""]",234,0.70,151.0,0.66,64,104.2,0.52,0.32,0.02,0.08,23,10
svnny,VCT Game Changers,Ukiy,United States,Americas,"[""Breach"", ""KAY/O""]",252,0.70,141.3,0.57,57,96.0,0.46,0.34,0.03,0.10,32,2
oranges,VCT Game Changers,Red ,N/A,N/A,"[""Cypher"", ""Killjoy""]",431,0.70,147.3,0.67,64,99.8,0.54,0.22,0.06,0.13,23,4
speq,VCT Game Changers,Bumb,"Korea, Republic of",Pacific,"[""Fade"", ""KAY/O""]",303,0.70,147.6,0.62,63,96.6,0.51,0.34,0.05,0.11,24,12
unfeel,VCT Game Changers,Tena,N/A,N/A,"[""Breach"", ""Gekko""]",304,0.68,123.2,0.55,63,83.4,0.42,0.28,0.05,0.07,27,10
misty,VCT Game Changers,BCGF,Brazil,Americas,"[""Viper"", ""KAY/O""]",200,0.68,161.5,0.59,56,103.5,0.53,0.28,0.06,0.11,27,4
bubu,VCT Game Changers,DRK,France,EMEA,"[""Yoru"", ""Omen""]",210,0.68,163.5,0.67,55,112.8,0.57,0.14,0.08,0.11,37,14
LechugaFresh,VCT Game Changers,RGS,Mexico,Americas,"[""Cypher"", ""Killjoy""]",273,0.68,144.5,0.64,60,98.9,0.49,0.21,0.07,0.09,21,17
LaPapaLuna,VCT Game Changers,K7,Costa Rica,Americas,"[""Astra"", ""Sova""]",301,0.67,147.9,0.60,64,96.3,0.48,0.22,0.04,0.07,20,3
Jazzy,VCT Game Changers,ROA,Argentina,Americas,"[""Viper"", ""Brimstone""]",212,0.66,124.0,0.60,54,86.7,0.45,0.17,0.01,0.08,35,13
Miyu,VCT Game Changers,FKS.S,Germany,EMEA,"[""Viper""]",342,0.63,132.7,0.54,63,89.2,0.44,0.35,0.03,0.06,24,12
Gia,VCT Game Changers,EV,United States,Americas,"[""Sova"", ""Skye""]",411,0.62,130.7,0.50,61,89.4,0.42,0.30,0.04,0.08,23,5
Hyungwonho,VCT Game Changers,ERM,Lao People's Democratic Republic,Pacific,"[""Viper"", ""Brimstone""]",241,0.58,116.1,0.46,54,77.3,0.38,0.31,0.02,0.08,17,10
Pigruto,VCT Game Changers,CBD,Singapore,Pacific,"[""Sova"", ""Killjoy""]",243,0.53,113.7,0.48,53,81.9,0.37,0.14,0.04,0.13,21,8
