username,league,team,country,region,role,agents,rounds,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs,clutch_rate
reazy,VCT International,BBL,Türkiye,Pacific,Initiator,"[""Skye"", ""Sova""]",501,0.81,156.7,0.76,67,108.6,0.53,0.33,0.04,0.05,29,16
beyAz,VCT International,M8,France,EMEA,Initiator,"[""Breach"", ""Sova""]",564,0.80,155.4,0.72,71,103.8,0.52,0.42,0.05,0.07,23,11
mazin,VCT International,MIBR,Brazil,Americas,Flex,"[""Skye"", ""Viper""]",699,0.80,153.6,0.73,64,102.3,0.52,0.34,0.06,0.07,29,15
Haodong,VCT International,TEC,China,China,Flex,"[""Omen"", ""Cypher""]",870,0.80,155.6,0.79,69,101.3,0.55,0.33,0.08,0.11,27,36
Anthem,VCT International,DFM,Japan,Pacific,Initiator,"[""Skye"", ""Sova""]",555,0.80,154.0,0.72,71,104.0,0.54,0.30,0.05,0.10,24,11
Knight,VCT International,BLG,China,China,Flex,"[""Killjoy"", ""KAY/O""]",660,0.80,187.8,0.95,64,119.5,0.66,0.35,0.04,0.06,29,8
havoc,VCT International,FUR,Brazil,Americas,Flex,"[""KAY/O"", ""Raze""]",512,0.79,182.2,0.79,61,126.1,0.62,0.19,0.12,0.19,36,17
kon4n,VCT International,FUR,Brazil,Americas,Initiator,"[""Sova"", ""Skye""]",314,0.77,158.3,0.73,67,105.5,0.54,0.27,0.07,0.10,24,11
nephh,VCT International,BLG,Singapore,Pacific,Initiator,"[""Fade"", ""KAY/O""]",339,0.77,190.5,0.88,58,119.7,0.66,0.40,0.08,0.09,20,
FiNESSE,VCT International,NRG,Canada,Americas,Sentinel,"[""Cypher"", ""Deadlock""]",215,0.76,158.1,0.71,64,105.5,0.54,0.28,0.08,0.04,19,12
yosemite,VCT International,FPX,China,China,Flex,"[""Viper"", ""Killjoy""]",660,0.61,206.5,1.00,55,122.2,0.72,0.27,0.09,0.09,25,
Spring,VCT International,WOL,"Taiwan, Province of China",Pacific,Flex,"[""Jett"", ""Omen""]",487,,203.6,0.96,,159.8,0.70,0.20,0.17,0.24,,
YHchen,VCT International,JDG,"Taiwan, Province of China",Pacific,Initiator,"[""KAY/O"", ""Gekko""]",353,,188.8,0.92,,128.5,0.64,0.38,0.08,0.08,,
jkuro,VCT International,JDG,China,China,Initiator,"[""Fade"", ""Skye""]",407,,175.6,0.86,,104.5,0.63,0.23,0.11,0.11,,
Viva,VCT International,JDG,China,China,Flex,"[""Viper"", ""Sova""]",471,,220.5,1.24,,144.5,0.78,0.28,0.10,0.03,,
stew,VCT International,JDG,"Korea, Republic of",Pacific,Duelist,"[""Raze"", ""Jett""]",471,,233.5,1.20,,151.7,0.83,0.16,0.14,0.15,,
GuanG,VCT International,NOVA,China,China,Duelist,"[""Jett"", ""Neon""]",467,,191.7,0.94,,137.3,0.70,0.19,0.14,0.06,,
Eren,VCT International,TYL,China,China,Flex,"[""Viper"", ""Reyna""]",280,,202.5,0.97,,136.1,0.71,0.26,0.09,0.12,,
AC,VCT International,TEC,China,China,Controller,"[""Viper"", ""Omen""]",356,,197.8,1.03,,128.1,0.71,0.35,0.04,0.08,,
SWERL,VCT International,NOVA,Australia,Pacific,Duelist,"[""Raze"", ""Jett""]",391,,228.3,1.01,,140.7,0.78,0.19,0.14,0.18,,
QiuYe,VCT International,XG,China,China,Flex,"[""Killjoy"", ""Skye""]",297,,166.4,0.74,,,0.57,0.30,,,,
CB,VCT International,NOVA,China,China,Initiator,"[""Breach"", ""Fade""]",467,,198.6,0.92,,123.4,0.67,0.34,0.08,0.13,,
OBONE,VCT International,NOVA,China,China,Controller,"[""Omen""]",291,,165.9,0.81,,,0.59,0.32,,,,
o0o0o,VCT International,NOVA,China,China,Flex,"[""Raze"", ""Breach""]",467,,164.9,0.76,,109.2,0.57,0.36,0.06,0.10,,
hfmi0dzjc9z7,VCT International,TYL,China,China,Initiator,"[""Sova"", ""Gekko""]",313,,205.3,1.08,,132.3,0.75,0.21,0.09,0.13,,
YOU,VCT International,XLG,Hong Kong,Pacific,Flex,"[""Killjoy"", ""Sova""]",566,,190.2,0.97,,,0.66,0.31,,,,
MarT1n,VCT International,XLG,China,China,Sentinel,"[""Killjoy""]",290,,176.8,0.81,,,0.59,0.20,,,,
Rb,VCT International,TEC,"Korea, Republic of",Pacific,Flex,"[""Fade"", ""Cypher""]",653,,223.1,1.07,,144.0,0.79,0.28,0.15,0.18,,
aluba,VCT International,WOL,China,China,Flex,"[""Omen"", ""Killjoy""]",487,,195.6,0.97,,114.4,0.70,0.32,0.09,0.06,,
Nicc,VCT International,DRG,"Taiwan, Province of China",Pacific,Initiator,"[""Gekko"", ""Breach""]",680,,181.8,0.95,,114.5,0.65,0.39,0.05,0.09,,
coldfish,VCT International,TYL,China,China,Flex,"[""Sova"", ""Viper""]",485,,182.4,0.92,,118.4,0.64,0.29,0.07,0.04,,
Yuicaw,VCT International,WOL,"Taiwan, Province of China",Pacific,Flex,"[""Cypher"", ""Raze""]",487,,221.2,1.07,,162.1,0.78,0.27,0.14,0.06,,
pl1xx,VCT International,WOL,Australia,Pacific,Flex,"[""KAY/O"", ""Viper""]",487,,187.3,0.91,,130.4,0.65,0.37,0.08,0.08,,
nizhaoTZH,VCT International,DRG,China,China,Controller,"[""Viper"", ""Omen""]",680,,181.0,0.93,,119.3,0.65,0.34,0.06,0.08,,
vo0kashu,VCT International,DRG,Russian Federation,EMEA,Sentinel,"[""Killjoy"", ""Cypher""]",680,,233.3,1.16,,167.4,0.84,0.24,0.10,0.07,,
TvirusLuke,VCT International,DRG,"Taiwan, Province of China",Pacific,Duelist,"[""Jett"", ""Raze""]",680,,215.2,0.88,,152.6,0.71,0.20,0.21,0.17,,
Spitfires,VCT International,AG,China,China,Flex,"[""Cypher"", ""Jett""]",459,,202.0,0.91,,128.5,0.71,0.15,0.22,0.20,,
LockM,VCT International,TEC,China,China,Flex,"[""Viper"", ""Sova""]",653,,167.3,0.81,,106.5,0.58,0.27,0.02,0.05,,
Shion7,VCT International,DRG,China,China,Flex,"[""Harbor"", ""Gekko""]",570,,180.7,0.84,,118.0,0.62,0.28,0.05,0.12,,
deLb,VCT International,AG,Indonesia,Pacific,Duelist,"[""Raze"", ""Reyna""]",459,,195.7,1.00,,124.2,0.71,0.18,0.06,0.06,,
monk,VCT International,AG,China,China,Flex,"[""Breach"", ""Killjoy""]",459,,178.7,0.79,,117.1,0.62,0.35,0.07,0.06,,
bunt,VCT International,AG,China,China,Controller,"[""Omen"", ""Viper""]",459,,186.5,0.93,,108.8,0.68,0.32,0.07,0.07,,
sword9,VCT International,JDG,China,China,Initiator,"[""Sova"", ""KAY/O""]",459,,171.3,0.78,,122.6,0.57,0.32,0.06,0.12,,
Abo,VCT International,TYL,China,China,Duelist,"[""Raze"", ""Jett""]",653,,211.0,0.99,,145.6,0.74,0.18,0.17,0.16,,
kawaii,VCT International,iNv,China,China,Controller,"[""Omen"", ""Brimstone""]",544,,186.0,0.94,,121.4,0.66,0.30,0.07,0.07,,
