username,league,team,country,region,role,agents,rounds,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs,clutch_rate
krysyS,VCT Challengers,FIVE,Spain,EMEA,Initiator,"[""Breach"", ""KAY/O""]",219,0.85,164.5,0.76,72,109.3,0.57,0.37,0.05,0.07,26,15
Loco,VCT Challengers,TOPG,Egypt,EMEA,Initiator,"[""Breach"", ""Skye""]",457,0.85,172.2,0.76,67,115.3,0.61,0.34,0.09,0.10,25,11
shiba,VCT Challengers,END,Singapore,Pacific,Initiator,"[""Sova"", ""Skye""]",475,0.85,186.0,0.80,65,119.2,0.63,0.32,0.08,0.10,24,9
BandiCoot,VCT Challengers,PRVN,Colombia,Americas,Controller,"[""Omen""]",313,0.84,144.9,0.76,71,93.7,0.51,0.35,0.05,0.07,27,3
N1ER,VCT Challengers,,Philippines,Pacific,Duelist,"[""Raze"", ""Jett""]",327,0.84,197.0,0.84,64,131.6,0.69,0.16,0.15,0.12,26,16
Negradas,VCT Challengers,SZK,Spain,EMEA,Sentinel,"[""Killjoy"", ""Cypher""]",218,0.84,164.2,0.77,64,113.8,0.58,0.26,0.06,0.09,31,13
Dext,VCT Challengers,EX0,Slovakia,EMEA,Flex,"[""Omen"", ""Killjoy""]",415,0.84,184.1,0.83,65,122.8,0.66,0.22,0.10,0.13,32,18
limitado,VCT Challengers,DIS,Indonesia,Pacific,Flex,"[""Viper"", ""Killjoy""]",435,0.84,167.2,0.81,68,112.3,0.59,0.22,0.05,0.09,29,15
Chaze,VCT Challengers,Balb,Philippines,Pacific,Initiator,"[""Skye"", ""Sova""]",267,0.84,168.2,0.76,70,112.0,0.57,0.31,0.04,0.05,24,3
FrizzNatsz,VCT Challengers,LCR,Indonesia,Pacific,Initiator,"[""Skye"", ""Sova""]",340,0.84,172.1,0.75,64,115.6,0.59,0.25,0.06,0.14,26,8
Faska,VCT Challengers,LK,Spain,EMEA,Initiator,"[""Sova"", ""Skye""]",268,0.84,168.0,0.77,67,113.4,0.57,0.20,0.07,0.06,30,
iBrocky,VCT Challengers,KRAKEN,Australia,Pacific,Flex,"[""Viper"", ""Breach""]",271,0.84,154.8,0.79,68,109.3,0.52,0.24,0.04,0.09,22,12
Nay,VCT Challengers,LFM,Indonesia,Pacific,Flex,"[""Cypher"", ""Viper""]",296,0.84,175.5,0.83,64,119.0,0.65,0.18,0.06,0.08,35,10
yatoro,VCT Challengers,ETH,Indonesia,Pacific,Duelist,"[""Raze"", ""Yoru""]",340,0.84,174.2,0.77,61,126.1,0.62,0.21,0.08,0.09,28,7
Michel,VCT Challengers,LK,Spain,EMEA,Duelist,"[""Raze"", ""Jett""]",355,0.84,208.7,0.84,58,140.7,0.72,0.16,0.14,0.25,26,6
Xini,VCT Challengers,HOF,Portugal,EMEA,Flex,"[""Sova"", ""Killjoy""]",204,0.84,189.1,0.84,62,128.7,0.69,0.13,0.11,0.11,28,5
b3ta,VCT Challengers,XIA,Thailand,Pacific,Controller,"[""Viper"", ""Omen""]",959,0.84,177.0,0.80,68,116.1,0.61,0.35,0.08,0.11,31,23
Luc1d,VCT Challengers,UOL,Germany,EMEA,Duelist,"[""Jett""]",232,0.84,179.2,0.88,62,120.6,0.66,0.10,0.13,0.18,38,4
l0udly,VCT Challengers,FLK,Lithuania,EMEA,Flex,"[""Fade"", ""Cypher""]",521,0.84,164.9,0.81,64,109.6,0.56,0.22,0.09,0.08,32,14
Kotaro,VCT Challengers,IMP,Spain,EMEA,Sentinel,"[""Killjoy"", ""Cypher""]",248,0.84,175.4,0.79,71,118.6,0.61,0.25,0.06,0.08,30,13
tweethy,VCT Challengers,yara,Poland,EMEA,Flex,"[""Cypher"", ""Fade""]",242,0.84,167.7,0.80,68,109.2,0.60,0.19,0.04,0.11,29,12
Veenx,VCT Challengers,FLC,Saudi Arabia,EMEA,Initiator,"[""Gekko"", ""Breach""]",388,0.84,158.4,0.72,66,105.2,0.55,0.37,0.05,0.06,30,7
BlackWiz,VCT Challengers,NFX,Japan,Pacific,Controller,"[""Viper"", ""Astra""]",792,0.84,170.1,0.83,70,112.4,0.60,0.32,0.07,0.08,27,13
tripsy,VCT Challengers,MT,Portugal,EMEA,Sentinel,"[""Cypher"", ""Killjoy""]",561,0.84,186.6,0.86,66,129.2,0.66,0.21,0.08,0.11,28,18
maine,VCT Challengers,iPGN,Australia,Pacific,Controller,"[""Omen"", ""Viper""]",280,0.84,175.8,0.77,66,114.1,0.58,0.35,0.09,0.12,21,6
SouhcNi,VCT Challengers,SUP,Türkiye,Pacific,Initiator,"[""Sova"", ""Fade""]",714,0.84,166.8,0.80,69,109.3,0.55,0.33,0.07,0.08,26,11
wstVirginia,VCT Challengers,DUPG,India,Pacific,Flex,"[""Skye"", ""Viper""]",689,0.84,177.5,0.79,63,123.5,0.63,0.21,0.06,0.11,35,13
Kuro,VCT Challengers,UNT,Saudi Arabia,EMEA,Flex,"[""Viper"", ""Sova""]",1399,0.84,180.9,0.84,68,121.2,0.61,0.29,0.08,0.11,25,16
no1syboy,VCT Challengers,LFM,Indonesia,Pacific,Flex,"[""Killjoy"", ""Breach""]",782,0.84,178.3,0.83,65,118.4,0.63,0.21,0.08,0.09,22,12
ezzy,VCT Challengers,ACE,India,Pacific,Sentinel,"[""Cypher"", ""Chamber""]",568,0.84,188.3,0.81,57,125.1,0.67,0.17,0.11,0.17,32,10
OzzyTK,VCT Challengers,MZP,Ireland,EMEA,Flex,"[""Viper"", ""Skye""]",501,0.84,181.2,0.82,65,120.1,0.62,0.27,0.09,0.10,33,9
Bati,VCT Challengers,EXO,Portugal,EMEA,Controller,"[""Omen"", ""Brimstone""]",399,0.83,155.7,0.75,71,101.2,0.53,0.43,0.07,0.09,18,13
tbloy,VCT Challengers,SG,Thailand,Pacific,Duelist,"[""Reyna"", ""Raze""]",461,0.83,206.3,0.85,66,138.5,0.70,0.16,0.16,0.18,22,12
Precision,VCT Challengers,DB,United States,Americas,Initiator,"[""KAY/O"", ""Skye""]",1020,0.83,159.0,0.76,65,107.8,0.55,0.30,0.05,0.10,27,9
Kheops,VCT Challengers,OXR,Algeria,EMEA,Controller,"[""Omen"", ""Viper""]",910,0.83,164.3,0.80,71,106.1,0.58,0.35,0.05,0.10,31,21
Allen,VCT Challengers,BCS,Japan,Pacific,Controller,"[""Viper"", ""Omen""]",355,0.83,176.8,0.78,70,119.2,0.59,0.33,0.07,0.10,22,3
P4ND4,VCT Challengers,6K,Mexico,Americas,Flex,"[""KAY/O"", ""Killjoy""]",504,0.83,160.4,0.77,65,108.7,0.55,0.28,0.05,0.08,25,19
AdrianL,VCT Challengers,ATN,Germany,EMEA,Flex,"[""Gekko"", ""Cypher""]",253,0.83,175.4,0.83,66,117.0,0.63,0.13,0.09,0.09,44,9
Rexon,VCT Challengers,NXT,Austria,EMEA,Flex,"[""Omen"", ""Cypher""]",440,0.83,158.6,0.78,65,108.0,0.58,0.25,0.06,0.08,30,10
bramz,VCT Challengers,AKR,France,EMEA,Sentinel,"[""Killjoy"", ""Cypher""]",518,0.83,172.9,0.83,68,114.5,0.60,0.21,0.08,0.10,28,18
GunterR,VCT Challengers,,"Taiwan, Province of China",Pacific,Controller,"[""Omen"", ""Viper""]",383,0.83,172.5,0.76,67,117.2,0.57,0.32,0.07,0.09,30,11
sunny,VCT Challengers,,Türkiye,Pacific,Controller,"[""Viper"", ""Omen""]",208,0.83,170.7,0.78,68,115.8,0.61,0.31,0.06,0.07,33,
SyKo,VCT Challengers,PUG,Philippines,Pacific,Initiator,"[""Sova"", ""Gekko""]",763,0.83,175.9,0.78,68,117.0,0.60,0.30,0.06,0.11,35,18
musz3kk,VCT Challengers,EF,Türkiye,Pacific,Duelist,"[""Jett"", ""Raze""]",504,0.83,195.2,0.81,66,126.0,0.65,0.18,0.16,0.17,28,17
jeyj7y,VCT Challengers,S2G,Türkiye,Pacific,Initiator,"[""Fade"", ""Breach""]",500,0.83,164.0,0.77,69,112.8,0.57,0.30,0.06,0.10,32,12
blackhawk,VCT Challengers,AR,India,Pacific,Flex,"[""Omen"", ""Breach""]",253,0.83,174.4,0.76,66,113.3,0.60,0.27,0.07,0.09,30,10
Sandro,VCT Challengers,IGW,Portugal,EMEA,Controller,"[""Omen"", ""Harbor""]",348,0.82,171.4,0.74,68,109.3,0.59,0.43,0.08,0.11,22,11
Ri0,VCT Challengers,TRS,India,Pacific,Initiator,"[""Sova"", ""Skye""]",845,0.82,162.4,0.74,65,112.7,0.55,0.26,0.05,0.08,28,9
MILKY,VCT Challengers,AIC,Australia,Pacific,Flex,"[""Breach"", ""Harbor""]",674,0.82,156.6,0.75,68,106.8,0.53,0.36,0.06,0.09,20,12
AuloekXD,VCT Challengers,,"Taiwan, Province of China",Pacific,Controller,"[""Omen"", ""Brimstone""]",313,0.82,165.5,0.78,66,110.8,0.58,0.36,0.05,0.07,30,17
Yoyoman,VCT Challengers,,"Taiwan, Province of China",Pacific,Initiator,"[""KAY/O"", ""Breach""]",383,0.82,179.4,0.81,66,120.2,0.64,0.30,0.09,0.12,25,11
alexis,VCT Challengers,SR,United States,Americas,Initiator,"[""Fade"", ""Skye""]",323,0.82,153.4,0.73,71,93.8,0.53,0.54,0.05,0.08,25,13
HoangBao2,VCT Challengers,,N/A,N/A,Duelist,"[""Raze"", ""Jett""]",251,0.82,175.0,0.79,72,121.1,0.62,0.20,0.10,0.13,26,13
Peanut,VCT Challengers,,Germany,EMEA,Flex,"[""Killjoy"", ""Viper""]",316,0.82,190.7,0.84,63,125.2,0.67,0.19,0.11,0.14,34,21
LilBOii,VCT Challengers,MDL,India,Pacific,Duelist,"[""Raze"", ""Jett""]",423,0.82,178.2,0.75,62,118.2,0.61,0.19,0.11,0.16,26,7
Rageee,VCT Challengers,CKE,Viet Nam,Pacific,Flex,"[""Skye"", ""Cypher""]",226,0.82,180.4,0.77,65,112.2,0.61,0.31,0.04,0.08,31,9
OniBy,VCT Challengers,AKR,France,EMEA,Flex,"[""Sova"", ""Yoru""]",595,0.82,174.1,0.77,68,121.2,0.57,0.27,0.10,0.10,31,9
HEMMORJAY,VCT Challengers,SKUL,Russian Federation,EMEA,Duelist,"[""Jett"", ""Raze""]",662,0.82,190.9,0.81,60,125.6,0.68,0.13,0.21,0.21,27,6
saiko,VCT Challengers,RBT,Poland,EMEA,Duelist,"[""Yoru"", ""Raze""]",323,0.82,172.6,0.81,70,116.7,0.61,0.23,0.15,0.12,25,7
gRIGUAj,VCT Challengers,NOVO,Italy,EMEA,Initiator,"[""Breach"", ""Fade""]",250,0.82,159.6,0.74,72,101.5,0.52,0.38,0.06,0.10,17,16
RockeT,VCT Challengers,GMX,Egypt,EMEA,Duelist,"[""Raze"", ""Jett""]",892,0.81,198.7,0.84,62,129.9,0.67,0.15,0.17,0.23,30,3
Pepper,VCT Challengers,NTH,Japan,Pacific,Flex,"[""Sage"", ""Sova""]",344,0.81,149.6,0.74,70,102.5,0.53,0.30,0.03,0.05,25,4
ayman,VCT Challengers,BZE,Malaysia,Pacific,Duelist,"[""Jett"", ""Raze""]",201,0.81,202.3,0.78,64,138.2,0.67,0.20,0.15,0.23,20,17
DarkLight,VCT Challengers,SLY,France,EMEA,Controller,"[""Omen"", ""Viper""]",226,0.81,168.4,0.77,72,107.5,0.57,0.31,0.05,0.05,20,21
stev0rr,VCT Challengers,UOL,Germany,EMEA,Sentinel,"[""Cypher""]",232,0.81,149.6,0.72,60,112.0,0.52,0.22,0.06,0.08,26,9
phaze,VCT Challengers,RAAD,Egypt,EMEA,Controller,"[""Omen""]",227,0.81,146.9,0.73,70,96.5,0.51,0.42,0.05,0.03,28,16
soren,VCT Challengers,AKR,France,EMEA,Duelist,"[""Raze"", ""Neon""]",254,0.81,185.8,0.79,68,125.2,0.63,0.18,0.18,0.19,31,18
weber,VCT Challengers,,"Taiwan, Province of China",Pacific,Initiator,"[""KAY/O"", ""Skye""]",355,0.81,168.4,0.79,64,114.1,0.59,0.30,0.07,0.11,30,17
Aru,VCT Challengers,MISK,"Korea, Republic of",Pacific,Initiator,"[""Breach"", ""Fade""]",450,0.81,145.1,0.70,71,98.1,0.52,0.44,0.04,0.08,23,14
iDex,VCT Challengers,HGE,Belgium,EMEA,Flex,"[""Cypher"", ""Omen""]",318,0.81,164.5,0.76,65,114.8,0.57,0.27,0.07,0.14,30,20
mochi,VCT Challengers,,Spain,EMEA,Flex,"[""Killjoy"", ""Viper""]",415,0.81,171.9,0.78,63,115.9,0.60,0.14,0.06,0.11,31,4
Morphiw0w,VCT Challengers,OP,Italy,EMEA,Initiator,"[""Breach"", ""Gekko""]",293,0.81,167.7,0.73,70,111.5,0.56,0.39,0.06,0.07,25,10
Foods,VCT Challengers,Jopa,Philippines,Pacific,Duelist,"[""Raze"", ""Jett""]",214,0.81,193.3,0.76,59,130.7,0.65,0.18,0.16,0.14,26,13
ANXiOS,VCT Challengers,tras,N/A,N/A,Flex,"[""Omen"", ""KAY/O""]",801,0.81,160.9,0.72,70,105.7,0.54,0.42,0.06,0.09,24,9
HydraKid,VCT Challengers,AVN,Philippines,Pacific,Flex,"[""Omen"", ""Reyna""]",395,0.81,175.1,0.70,68,117.7,0.56,0.39,0.09,0.11,25,12
eugeneS,VCT Challengers,SKYE,Philippines,Pacific,Duelist,"[""Jett""]",324,0.81,208.4,0.80,65,136.5,0.68,0.19,0.15,0.21,19,8
sunshine,VCT Challengers,WHO,Denmark,EMEA,Flex,"[""Omen"", ""Killjoy""]",428,0.81,170.7,0.79,64,112.2,0.61,0.22,0.06,0.10,28,12
shooterR,VCT Challengers,PHX,Pakistan,Pacific,Duelist,"[""Raze"", ""Jett""]",411,0.80,178.2,0.78,65,120.5,0.60,0.21,0.14,0.17,29,8
Panda,VCT Challengers,DIE,India,Pacific,Controller,"[""Omen""]",279,0.80,158.1,0.79,67,101.4,0.57,0.32,0.06,0.08,37,17
Orgil,VCT Challengers,,Mongolia,EMEA,Initiator,"[""Breach"", ""Sova""]",355,0.80,178.6,0.74,65,118.8,0.58,0.34,0.09,0.10,32,16
m4xikk,VCT Challengers,FLK,Russian Federation,EMEA,Controller,"[""Omen"", ""Viper""]",250,0.80,169.8,0.74,62,112.8,0.59,0.20,0.07,0.10,37,3
ghostxD,VCT Challengers,RGE,India,Pacific,Controller,"[""Brimstone"", ""Omen""]",241,0.80,164.2,0.79,68,104.4,0.58,0.36,0.07,0.10,30,9
nixoon,VCT Challengers,OF,Finland,EMEA,Controller,"[""Astra"", ""Omen""]",991,0.80,173.0,0.77,67,108.2,0.60,0.35,0.09,0.12,21,20
GauRanG,VCT Challengers,TRS,India,Pacific,Controller,"[""Omen"", ""Brimstone""]",402,0.80,158.3,0.73,63,104.7,0.56,0.25,0.04,0.09,33,15
DeepMans,VCT Challengers,DATH,Türkiye,Pacific,Flex,"[""Skye"", ""Phoenix""]",253,0.80,179.0,0.79,68,113.3,0.62,0.28,0.09,0.15,37,28
al1en,VCT Challengers,CTLS,Slovenia,EMEA,Controller,"[""Omen"", ""Viper""]",215,0.80,169.4,0.74,67,111.3,0.58,0.30,0.08,0.09,26,4
fame,VCT Challengers,COOP,Brazil,Americas,Sentinel,"[""Cypher"", ""Killjoy""]",490,0.80,150.8,0.74,64,99.4,0.54,0.20,0.04,0.06,23,9
MERZ,VCT Challengers,PULS,Türkiye,Pacific,Controller,"[""Omen"", ""Viper""]",794,0.80,165.8,0.73,67,107.7,0.56,0.39,0.07,0.10,25,16
Aeonyx,VCT Challengers,GLAB,Philippines,Pacific,Sentinel,"[""Cypher"", ""Sage""]",399,0.80,173.5,0.76,64,118.6,0.59,0.18,0.08,0.09,27,11
Tmy,VCT Challengers,aldo,Saudi Arabia,EMEA,Sentinel,"[""Killjoy"", ""Cypher""]",860,0.79,170.2,0.77,59,118.7,0.59,0.19,0.08,0.13,23,7
BE,VCT Challengers,KBLD,Mongolia,EMEA,Flex,"[""Skye"", ""Omen""]",359,0.79,145.1,0.79,66,96.3,0.56,0.23,0.06,0.10,39,23
SantaGolf,VCT Challengers,SG,Thailand,Pacific,Sentinel,"[""Cypher"", ""Killjoy""]",615,0.79,157.7,0.79,64,102.9,0.57,0.17,0.06,0.07,21,14
Newzera,VCT Challengers,DVM,France,EMEA,Initiator,"[""Fade"", ""Skye""]",310,0.79,165.8,0.82,70,104.7,0.59,0.33,0.08,0.11,36,7
Magneto,VCT Challengers,TOPG,Egypt,EMEA,Flex,"[""Omen"", ""Breach""]",457,0.79,169.7,0.72,63,115.3,0.59,0.29,0.06,0.12,31,14
EARTHY,VCT Challengers,BNC,Thailand,Pacific,Flex,"[""Cypher"", ""Skye""]",396,0.79,157.1,0.68,65,103.6,0.51,0.37,0.05,0.09,22,9
Derialy,VCT Challengers,FL,Japan,Pacific,Sentinel,"[""Cypher"", ""Killjoy""]",485,0.79,152.2,0.79,68,101.0,0.56,0.14,0.07,0.09,27,18
Razvy,VCT Challengers,TOPG,Russian Federation,EMEA,Flex,"[""KAY/O"", ""Raze""]",486,0.79,169.1,0.74,64,114.6,0.59,0.20,0.08,0.08,33,5
ITaoEartH,VCT Challengers,,Thailand,Pacific,Initiator,"[""Skye"", ""KAY/O""]",220,0.79,157.4,0.72,61,108.7,0.55,0.20,0.05,0.11,28,18
Mizern,VCT Challengers,PDF,Singapore,Pacific,Flex,"[""Cypher"", ""Reyna""]",208,0.79,172.8,0.81,66,114.9,0.65,0.17,0.06,0.09,30,14
roud,VCT Challengers,STPL,"Taiwan, Province of China",Pacific,Controller,"[""Viper""]",287,0.79,158.0,0.74,69,107.3,0.57,0.40,0.05,0.10,37,8
HaReeee,VCT Challengers,NTH,Japan,Pacific,Controller,"[""Omen"", ""Brimstone""]",252,0.79,154.0,0.70,60,102.6,0.54,0.25,0.07,0.07,29,6
Brädi,VCT Challengers,RTZN,Finland,EMEA,Initiator,"[""KAY/O"", ""Gekko""]",930,0.79,154.1,0.69,68,101.6,0.52,0.41,0.07,0.12,24,12
popoman4Q,VCT Challengers,FA,"Taiwan, Province of China",Pacific,Controller,"[""Omen"", ""Brimstone""]",344,0.79,153.9,0.70,68,100.8,0.52,0.40,0.02,0.06,22,6
PadangRice,VCT Challengers,BIGG.M,Indonesia,Pacific,Flex,"[""Gekko"", ""Omen""]",231,0.79,170.8,0.69,65,120.8,0.57,0.25,0.06,0.08,22,9
Whats Wong,VCT Challengers,ARC,New Zealand,Pacific,Initiator,"[""Sova"", ""KAY/O""]",288,0.79,149.6,0.74,69,101.4,0.53,0.34,0.03,0.08,27,16
gabo,VCT Challengers,CW,Philippines,Pacific,Flex,"[""Raze"", ""Cypher""]",324,0.79,165.0,0.75,60,114.3,0.59,0.14,0.07,0.09,32,16
ducT,VCT Challengers,VIE,Viet Nam,Pacific,Initiator,"[""Breach"", ""KAY/O""]",275,0.79,158.1,0.70,65,109.6,0.54,0.35,0.04,0.08,35,6
nTK,VCT Challengers,BAAM,Viet Nam,Pacific,Flex,"[""Brimstone"", ""Cypher""]",275,0.79,183.6,0.76,63,121.9,0.61,0.23,0.12,0.12,19,5
MAX,VCT Challengers,DUPG,India,Pacific,Initiator,"[""Breach"", ""Skye""]",265,0.79,150.7,0.68,67,103.1,0.51,0.26,0.06,0.08,29,9
MOCKING,VCT Challengers,NW,United States,Americas,Flex,"[""Cypher"", ""Gekko""]",207,0.78,174.6,0.75,64,116.8,0.60,0.24,0.13,0.14,27,13
Kayn,VCT Challengers,GTZ,Portugal,EMEA,Flex,"[""Omen"", ""Breach""]",396,0.78,158.3,0.71,67,103.0,0.55,0.34,0.08,0.10,28,7
Spolen,VCT Challengers,godi,Norway,EMEA,Initiator,"[""Sova"", ""Gekko""]",345,0.78,156.6,0.74,64,105.5,0.54,0.23,0.04,0.08,33,13
BennY,VCT Challengers,CGN,Germany,EMEA,Flex,"[""Gekko"", ""Phoenix""]",1402,0.78,158.5,0.79,66,104.1,0.56,0.23,0.09,0.13,27,11
Arkhram,VCT Challengers,MAD.SC,United States,Americas,Sentinel,"[""Killjoy"", ""Cypher""]",307,0.78,155.2,0.73,61,102.8,0.52,0.19,0.09,0.09,30,10
RxYaL,VCT Challengers,PXU,Germany,EMEA,Sentinel,"[""Cypher"", ""Killjoy""]",225,0.78,165.5,0.70,65,110.5,0.55,0.23,0.07,0.11,25,9
Electus,VCT Challengers,,Egypt,EMEA,Flex,"[""Viper"", ""KAY/O""]",865,0.78,156.5,0.70,66,104.3,0.53,0.32,0.06,0.09,28,9
Block,VCT Challengers,GMX,Egypt,EMEA,Flex,"[""Omen"", ""Killjoy""]",365,0.78,137.8,0.72,67,92.0,0.49,0.33,0.04,0.05,27,16
Antigon,VCT Challengers,VIS,Saudi Arabia,EMEA,Initiator,"[""Sova"", ""Skye""]",407,0.78,160.8,0.72,68,114.2,0.53,0.29,0.07,0.13,22,10
Haitam,VCT Challengers,XS,Chile,Americas,Sentinel,"[""Cypher"", ""Killjoy""]",409,0.78,169.6,0.75,66,118.1,0.57,0.30,0.08,0.11,33,15
YoWamu,VCT Challengers,BCS,Japan,Pacific,Flex,"[""Omen"", ""Raze""]",341,0.78,167.0,0.75,65,109.8,0.57,0.28,0.11,0.12,26,19
bnwgiggs,VCT Challengers,XIA,Thailand,Pacific,Flex,"[""Viper"", ""Breach""]",594,0.77,159.8,0.70,68,105.8,0.54,0.41,0.05,0.07,21,15
tkzin,VCT Challengers,777,Brazil,Americas,Flex,"[""Jett"", ""Fade""]",267,0.77,172.3,0.73,64,112.7,0.59,0.24,0.11,0.15,28,12
Rendra,VCT Challengers,90 K,Indonesia,Pacific,Sentinel,"[""Deadlock"", ""Cypher""]",340,0.77,184.1,0.72,62,126.7,0.62,0.17,0.14,0.20,16,6
Delend,VCT Challengers,INVI,Thailand,Pacific,Controller,"[""Viper"", ""Astra""]",211,0.77,155.7,0.71,66,102.1,0.54,0.32,0.02,0.07,28,8
Aqua,VCT Challengers,,Spain,EMEA,Initiator,"[""Breach"", ""Sova""]",415,0.77,154.2,0.72,64,99.6,0.55,0.32,0.04,0.11,32,14
adm1k,VCT Challengers,INCO,Poland,EMEA,Flex,"[""Raze"", ""Viper""]",461,0.77,172.4,0.70,70,120.4,0.55,0.33,0.07,0.15,22,6
Rayzey,VCT Challengers,ARC,Australia,Pacific,Controller,"[""Viper"", ""Omen""]",288,0.77,146.5,0.68,69,95.9,0.48,0.37,0.05,0.08,19,17
albus,VCT Challengers,RLF,Viet Nam,Pacific,Initiator,"[""Skye"", ""Sova""]",338,0.77,163.6,0.74,66,111.3,0.57,0.27,0.06,0.08,28,11
Yawnpeek,VCT Challengers,AIM,Philippines,Pacific,Flex,"[""Sova"", ""Raze""]",312,0.77,173.8,0.70,65,118.7,0.56,0.29,0.10,0.13,18,9
exotic,VCT Challengers,MEOW,Philippines,Pacific,Duelist,"[""Raze"", ""Jett""]",313,0.77,203.8,0.79,63,133.7,0.70,0.19,0.18,0.16,23,3
danKey,VCT Challengers,,"Taiwan, Province of China",Pacific,Flex,"[""KAY/O"", ""Raze""]",204,0.76,189.0,0.75,59,128.1,0.63,0.21,0.08,0.13,19,6
eleo,VCT Challengers,OVA,Israel,EMEA,Flex,"[""Sage"", ""Sova""]",552,0.76,152.3,0.68,65,105.4,0.51,0.28,0.04,0.08,28,5
Marin,VCT Challengers,MNC,France,EMEA,Initiator,"[""Sova"", ""Skye""]",238,0.76,156.8,0.74,67,104.7,0.55,0.26,0.05,0.09,30,7
TiTaN,VCT Challengers,FIVE,Spain,EMEA,Flex,"[""Viper"", ""Sova""]",207,0.76,150.7,0.70,64,103.1,0.51,0.30,0.03,0.13,34,7
Outcazt,VCT Challengers,CHCH,Bulgaria,EMEA,Initiator,"[""Sova"", ""Breach""]",254,0.76,147.6,0.73,68,100.9,0.52,0.28,0.04,0.06,27,9
XiaoFeng,VCT Challengers,,"Taiwan, Province of China",Pacific,Flex,"[""KAY/O"", ""Omen""]",246,0.76,185.3,0.70,63,124.8,0.60,0.25,0.12,0.21,25,22
sakura,VCT Challengers,,Japan,Pacific,Sentinel,"[""Killjoy"", ""Cypher""]",236,0.76,162.6,0.75,60,112.5,0.59,0.11,0.08,0.13,33,14
B3ASTM0D3,VCT Challengers,OVA,Croatia,EMEA,Controller,"[""Omen"", ""Brimstone""]",616,0.76,159.0,0.71,62,106.2,0.54,0.25,0.06,0.10,29,10
yiinel,VCT Challengers,Pain,Mexico,Americas,Initiator,"[""Sova"", ""Fade""]",475,0.76,149.7,0.69,67,102.4,0.50,0.30,0.05,0.10,30,15
Gunner,VCT Challengers,TOPG,Egypt,EMEA,Sentinel,"[""Killjoy""]",244,0.75,159.1,0.68,59,110.9,0.57,0.12,0.02,0.06,32,8
Tempura,VCT Challengers,NTH,Japan,Pacific,Controller,"[""Omen"", ""Viper""]",241,0.75,154.8,0.70,68,96.7,0.54,0.32,0.06,0.09,27,14
Tr1X,VCT Challengers,IVY,Philippines,Pacific,Controller,"[""Omen"", ""Brimstone""]",324,0.75,162.4,0.69,63,102.7,0.56,0.30,0.08,0.12,30,25
pleets,VCT Challengers,777,Brazil,Americas,Flex,"[""Cypher"", ""Viper""]",354,0.75,147.2,0.70,69,97.9,0.50,0.31,0.05,0.10,14,11
eur,VCT Challengers,AVN,Philippines,Pacific,Controller,"[""Omen"", ""Clove""]",203,0.75,166.3,0.68,64,109.3,0.57,0.34,0.05,0.11,28,3
Sevy,VCT Challengers,AIM,Philippines,Pacific,Controller,"[""Viper"", ""Omen""]",312,0.74,158.8,0.68,63,105.6,0.54,0.29,0.04,0.06,26,6
DominiK,VCT Challengers,ASTR,India,Pacific,Flex,"[""Viper"", ""Cypher""]",205,0.74,151.4,0.71,63,102.1,0.54,0.25,0.05,0.09,23,7
pedio,VCT Challengers,INFN,Thailand,Pacific,Initiator,"[""Sova"", ""Gekko""]",396,0.73,156.5,0.66,62,106.2,0.53,0.26,0.06,0.09,25,11
Xty,VCT Challengers,AVN,Philippines,Pacific,Sentinel,"[""Cypher"", ""Killjoy""]",203,0.73,162.8,0.66,66,104.1,0.54,0.29,0.03,0.06,26,3
DeadInk,VCT Challengers,FB,Türkiye,Pacific,Flex,"[""Gekko"", ""Clove""]",290,0.73,162.9,0.69,63,114.6,0.55,0.17,0.11,0.15,23,12
Kero,VCT Challengers,TOPG,Egypt,EMEA,Flex,"[""Omen"", ""Sage""]",286,0.72,154.4,0.67,60,101.9,0.53,0.32,0.05,0.12,35,13
Logan,VCT Challengers,FCN,United States,Americas,Duelist,"[""Raze"", ""Jett""]",234,0.72,148.4,0.72,62,105.4,0.55,0.15,0.12,0.15,17,13
Hirenkyaku,VCT Challengers,,Philippines,Pacific,Initiator,"[""Breach"", ""Sova""]",214,0.72,167.6,0.68,60,111.1,0.58,0.16,0.08,0.14,27,8
Apyr,VCT Challengers,VX3,Netherlands,EMEA,Flex,"[""KAY/O"", ""Jett""]",256,0.72,169.5,0.71,61,116.8,0.58,0.20,0.14,0.14,24,11
Kaqnn,VCT Challengers,SKUL,Algeria,EMEA,Flex,"[""Omen"", ""Sova""]",723,0.72,147.0,0.67,58,101.2,0.53,0.15,0.05,0.10,26,9
tupai,VCT Challengers,RAWR,Indonesia,Pacific,Flex,"[""Skye"", ""Cypher""]",219,0.72,188.8,0.68,60,126.8,0.62,0.18,0.16,0.13,28,6
sixelaoen,VCT Challengers,CLWN,Indonesia,Pacific,Controller,"[""Viper"", ""Harbor""]",340,0.72,152.6,0.64,59,101.7,0.52,0.23,0.05,0.10,29,7
SexyChristian,VCT Challengers,meow,United States,Americas,Initiator,"[""KAY/O"", ""Skye""]",567,0.72,156.3,0.67,69,99.0,0.51,0.47,0.05,0.08,27,9
Whimp,VCT Challengers,ACE,India,Pacific,Flex,"[""Viper"", ""KAY/O""]",460,0.72,146.6,0.64,63,97.7,0.51,0.30,0.05,0.09,33,8
